,valor,Variable,Index
13199,0.0,vGenPlt,EOLICO_INT_Proy.3#8259
13200,0.0,vGenPlt,EOLICO_ATL_Proy.3#8283
13201,0.0,vGenPlt,EOLICO_BOL_Proy.3#8307
13202,1095.8,vGenPlt,EOLICO_GCM_Proy.3#8331
13203,0.0,vGenPlt,EOLICO_CS_Proy.3#8355
13204,0.0,vGenPlt,EOLICO_CRR_Proy.3#8379
13205,0.0,vGenPlt,FLORES_I_CC.3#8403
13206,0.0,vGenPlt,FLORES_4_CC.3#8427
13207,0.0,vGenPlt,TEBSAB_CC.3#8451
13208,0.0,vGenPlt,TERMOCANDELARIA_CC.3#8475
13209,0.0,vGenPlt,TERMOCENTRO_CC.3#8499
13210,0.0,vGenPlt,TERMOEMCALI_CC.3#8523
13211,0.0,vGenPlt,TERMONORTE.3#8547
13212,0.0,vGenPlt,TERMOSIERRA_CC.3#8571
13213,0.0,vGenPlt,TERMOVALLE_CC.3#8595
13214,0.0,vGenPlt,TESORITO.3#8619
13215,0.0,vGenPlt,VILLANUEVA.3#8643
13216,10.0,vGenPlt,ALBAN.3#8667
13217,0.0,vGenPlt,AMOYA_LA_ESPERANZA.3#8691
13218,60.0,vGenPlt,BETANIA.3#8715
13219,0.0,vGenPlt,CALIMA.3#8739
13220,78.0,vGenPlt,CARLOS_LLERAS.3#8763
13221,0.0,vGenPlt,CHIVOR.3#8787
13222,56.0,vGenPlt,CUCUANA.3#8811
13223,150.0,vGenPlt,DARIO_VALENCIA_SAMPER.3#8835
13224,100.0,vGenPlt,EL_QUIMBO.3#8859
13225,55.0,vGenPlt,ESCUELA_DE_MINAS.3#8883
13226,16.0,vGenPlt,ESMERALDA.3#8907
13227,535.0,vGenPlt,GUATRON.3#8931
13228,560.0,vGenPlt,GUATAPE.3#8955
13229,1250.0,vGenPlt,GUAVIO.3#8979
13230,900.0,vGenPlt,ITUANGO.3#9003
13231,0.0,vGenPlt,JAGUAS.3#9027
13232,0.0,vGenPlt,PAGUA.3#9051
13233,0.0,vGenPlt,LA_TASAJERA.3#9075
13234,33.0,vGenPlt,MIEL_I.3#9099
13235,207.0,vGenPlt,PLAYAS.3#9123
13236,405.0,vGenPlt,PORCE_II.3#9147
13237,680.0,vGenPlt,PORCE_III.3#9171
13238,0.0,vGenPlt,PRADO.3#9195
13239,35.0,vGenPlt,SALTO_II.3#9219
13240,0.0,vGenPlt,SALVAJINA.3#9243
13241,263.4484999999998,vGenPlt,SAN_CARLOS.3#9267
13242,0.0,vGenPlt,SAN_FRANCISCO.3#9291
13243,50.0,vGenPlt,SAN_MIGUEL.3#9315
13244,500.0,vGenPlt,SOGAMOSO.3#9339
13245,338.0,vGenPlt,URRA.3#9363
13246,0.0,vGenPlt,CARACOLI_I.3#9387
13247,0.0,vGenPlt,EL_PASO.3#9411
13248,0.0,vGenPlt,FUNDACION.3#9435
13249,0.0,vGenPlt,GUAYEPO.3#9459
13250,0.0,vGenPlt,LATAM_SOLAR_LA_LOMA.3#9483
13251,0.0,vGenPlt,PARQUE_SOLAR_LA_UNION.3#9507
13252,0.0,vGenPlt,TEBSA240.4#6244
13253,0.0,vGenPlt,BARRANQUILLA_3.4#6268
13254,0.0,vGenPlt,BARRANQUILLA_4.4#6292
13255,0.0,vGenPlt,CARTAGENA_1.4#6316
13256,0.0,vGenPlt,CARTAGENA_2.4#6340
13257,0.0,vGenPlt,CARTAGENA_3.4#6364
13258,0.0,vGenPlt,GECELCA_3.4#6388
13259,0.0,vGenPlt,GECELCA_32.4#6412
13260,0.0,vGenPlt,GUAJIRA_1.4#6436
13261,0.0,vGenPlt,GUAJIRA_2.4#6460
