,fecha,tipo
483,2038-12-25,festivo
484,2038-12-26,domingo
485,2039-01-01,festivo
486,2039-01-02,domingo
487,2039-01-09,domingo
488,2039-01-10,festivo
489,2039-01-16,domingo
490,2039-01-23,domingo
491,2039-01-30,domingo
492,2039-02-06,domingo
493,2039-02-13,domingo
494,2039-02-20,domingo
495,2039-02-27,domingo
496,2039-03-06,domingo
497,2039-03-13,domingo
498,2039-03-20,domingo
499,2039-03-21,festivo
500,2039-03-27,domingo
501,2039-04-03,domingo
502,2039-04-07,festivo
503,2039-04-08,festivo
504,2039-04-10,domingo
505,2039-04-17,domingo
506,2039-04-24,domingo
507,2039-05-01,domingo y festivo
508,2039-05-08,domingo
509,2039-05-15,domingo
510,2039-05-22,domingo
511,2039-05-23,festivo
512,2039-05-29,domingo
513,2039-06-05,domingo
514,2039-06-12,domingo
515,2039-06-13,festivo
516,2039-06-19,domingo
517,2039-06-20,festivo
518,2039-06-26,domingo
519,2039-07-03,domingo
520,2039-07-04,festivo
521,2039-07-10,domingo
522,2039-07-17,domingo
523,2039-07-20,festivo
524,2039-07-24,domingo
525,2039-07-31,domingo
526,2039-08-07,domingo y festivo
527,2039-08-14,domingo
528,2039-08-15,festivo
529,2039-08-21,domingo
530,2039-08-28,domingo
531,2039-09-04,domingo
532,2039-09-11,domingo
533,2039-09-18,domingo
534,2039-09-25,domingo
535,2039-10-02,domingo
536,2039-10-09,domingo
537,2039-10-16,domingo
538,2039-10-17,festivo
539,2039-10-23,domingo
540,2039-10-30,domingo
541,2039-11-06,domingo
542,2039-11-07,festivo
543,2039-11-13,domingo
544,2039-11-14,festivo
545,2039-11-20,domingo
546,2039-11-27,domingo
547,2039-12-04,domingo
548,2039-12-08,festivo
549,2039-12-11,domingo
550,2039-12-18,domingo
551,2039-12-25,domingo y festivo
552,2040-01-01,domingo y festivo
553,2040-01-08,domingo
554,2040-01-09,festivo
555,2040-01-15,domingo
556,2040-01-22,domingo
557,2040-01-29,domingo
558,2040-02-05,domingo
559,2040-02-12,domingo
560,2040-02-19,domingo
561,2040-02-26,domingo
562,2040-03-04,domingo
563,2040-03-11,domingo
564,2040-03-18,domingo
565,2040-03-19,festivo
566,2040-03-25,domingo
567,2040-03-29,festivo
568,2040-03-30,festivo
569,2040-04-01,domingo
570,2040-04-08,domingo
571,2040-04-15,domingo
572,2040-04-22,domingo
573,2040-04-29,domingo
574,2040-05-01,festivo
575,2040-05-06,domingo
576,2040-05-13,domingo
577,2040-05-14,festivo
578,2040-05-20,domingo
579,2040-05-27,domingo
580,2040-06-03,domingo
581,2040-06-04,festivo
582,2040-06-10,domingo
583,2040-06-11,festivo
584,2040-06-17,domingo
585,2040-06-24,domingo
586,2040-07-01,domingo
587,2040-07-02,festivo
588,2040-07-08,domingo
589,2040-07-15,domingo
590,2040-07-20,festivo
591,2040-07-22,domingo
592,2040-07-29,domingo
593,2040-08-05,domingo
594,2040-08-07,festivo
595,2040-08-12,domingo
596,2040-08-19,domingo
597,2040-08-20,festivo
598,2040-08-26,domingo
599,2040-09-02,domingo
600,2040-09-09,domingo
601,2040-09-16,domingo
602,2040-09-23,domingo
603,2040-09-30,domingo
604,2040-10-07,domingo
605,2040-10-14,domingo
606,2040-10-15,festivo
607,2040-10-21,domingo
608,2040-10-28,domingo
609,2040-11-04,domingo
610,2040-11-05,festivo
611,2040-11-11,domingo
612,2040-11-12,festivo
613,2040-11-18,domingo
614,2040-11-25,domingo
615,2040-12-02,domingo
616,2040-12-08,festivo
617,2040-12-09,domingo
618,2040-12-16,domingo
619,2040-12-23,domingo
620,2040-12-25,festivo
621,2040-12-30,domingo
